-0.70	0.72
-1.40	1.42
-2.11	2.13
-2.82	2.84
-3.53	3.55
-4.23	4.25
-0.69	0.73
-1.39	1.43
-2.10	2.14
-2.81	2.85
-3.52	3.56
-4.22	4.26
-0.68	0.74
-1.38	1.44
-2.09	2.15
-2.80	2.86
-3.51	3.57
-4.21	4.27
-0.67	0.74
-1.37	1.45
-2.08	2.16
-2.79	2.87
-3.50	3.58
-4.20	4.28
-0.66	0.75
-1.36	1.46
-2.07	2.17
-2.78	2.88
-3.49	3.58
-4.19	4.29
-0.65	0.76
-1.35	1.47
-2.06	2.18
-2.77	2.89
-3.48	3.59
-4.18	4.30
-0.64	0.77
-1.34	1.48
-2.05	2.19
-2.76	2.90
-3.47	3.60
-4.17	4.31
-0.63	0.78
-1.33	1.49
-2.04	2.20
-2.75	2.91
-3.46	3.61
-4.16	4.32
-0.62	0.79
-1.32	1.50
-2.03	2.21
-2.74	2.92
-3.45	3.62
-4.15	4.33
-0.61	0.79
-1.31	1.51
-2.02	2.22
-2.73	2.93
-3.44	3.63
-4.14	4.34
-0.60	0.80
-1.30	1.52
-2.01	2.23
-2.72	2.93
-3.43	3.64
-4.13	4.35
-0.59	0.81
-1.29	1.52
-2.00	2.23
-2.71	2.94
-3.42	3.65
-4.12	4.36
-0.58	0.82
-1.28	1.53
-1.99	2.24
-2.70	2.95
-3.41	3.66
-4.11	4.37
-0.57	0.82
-1.27	1.54
-1.98	2.25
-2.69	2.96
-3.40	3.67
-4.10	4.38
-0.56	0.83
-1.26	1.55
-1.97	2.26
-2.68	2.97
-3.39	3.68
-4.09	4.39
-0.55	0.84
-1.25	1.56
-1.96	2.27
-2.67	2.98
-3.38	3.69
-4.08	4.40
-0.54	0.84
-1.24	1.57
-1.95	2.28
-2.66	2.99
-3.37	3.70
-4.07	4.41
-0.53	0.85
-1.23	1.57
-1.94	2.29
-2.65	3.00
-3.36	3.71
-4.06	4.42
-0.52	0.86
-1.22	1.58
-1.93	2.30
-2.64	3.01
-3.35	3.72
-4.05	4.42
-0.51	0.86
-1.21	1.59
-1.92	2.30
-2.63	3.02
-3.34	3.72
-4.04	4.43
-0.50	0.87
-1.20	1.60
-1.91	2.31
-2.62	3.02
-3.33	3.73
-4.03	4.44
-0.49	0.87
-1.19	1.60
-1.90	2.32
-2.61	3.03
-3.32	3.74
-4.02	4.45
-0.48	0.88
-1.18	1.61
-1.89	2.33
-2.60	3.04
-3.31	3.75
-4.01	4.46
-0.47	0.88
-1.17	1.62
-1.88	2.34
-2.59	3.05
-3.30	3.76
-4.00	4.47
-0.46	0.89
-1.16	1.63
-1.87	2.34
-2.58	3.06
